id,start_time,end_time,type,order,image_url
1,0,25,s,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s1.png
2,26,61,s,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s2.png
3,62,107,s,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s3.png
4,108,136,s,4,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s4.png
5,137,154,s,5,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s5.png
6,155,177,s,6,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s6.png
7,178,198,s,7,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s7.png
8,199,248,s,8,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s8.png
9,249,334,s,9,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s9.png
10,335,390,s,10,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s10.png
11,391,403,s,11,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s11.png
12,404,452,s,12,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s12.png
13,453,454,s,13,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s13.png
14,455,486,s,14,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_s14.png
15,487,511,q,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_q1.png
16,512,592,d,1,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_d1.png
17,593,594,q,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_q2.png
18,595,658,d,2,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_d2.png
19,659,660,q,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_q3.png
20,661,899,d,3,http://duypnguyen.hostingsiteforfree.com/moocs/images/week2-3_d3.png
